product_id,product_name,description,brand,category,sustainability_labels,price,dimensions
p1,Organic Bamboo Toothbrush,"A toothbrush made of biodegradable bamboo, eco-friendly and sustainable.",EcoBrush,Toiletries,"biodegradable,organic",2.5,"20 cm"
p2,Biodegradable Plates,"Plates made from bagasse, compostable and ideal for green dining.",GreenTable,Tableware,compostable,5.99,"25 x 25 x 2 cm"
p3,Plastic-Free Shampoo,"Natural shampoo bar with zero plastic packaging, vegan and cruelty-free.",NaturePure,Hair Care,"plastic-free,vegan",7.49,"8 x 5 x 3 cm"
p4,Recycled Paper Notebook,"Notebook made from 100% recycled paper, perfect for eco-conscious note-taking.",GreenLeaf,Stationery,recycled,4.25,"21 x 15 x 1 cm"
p5,Organic Cotton T-Shirt,"Soft T-shirt made from 100% organic cotton, ethically sourced.",EcoWear,Clothing,"organic,ethical",15.99,"70 x 50 cm"
p6,Reusable Stainless Steel Straw,"Durable straw made from stainless steel, reduces plastic waste.",SteelSip,Accessories,reusable,3.75,"20 cm"
p7,Compostable Coffee Pods,"Coffee pods made from plant-based materials, fully compostable.",EcoBrew,Beverages,compostable,8.99,"5 x 5 x 2 cm"
p8,Bamboo Cutlery Set,"Portable cutlery set made from sustainable bamboo.",GreenFork,Tableware,"biodegradable,sustainable",6.49,"20 x 5 x 2 cm"
p9,Organic Lavender Soap,"Handmade soap with organic lavender, packaged in recyclable paper.",PureBloom,Toiletries,"organic,recyclable",4.99,"10 x 6 x 3 cm"
p10,Recycled Glass Water Bottle,"Reusable water bottle made from recycled glass, BPA-free.",ClearCycle,Accessories,"recycled,reusable",12.5,"25 x 8 x 8 cm"
p11,Eco-Friendly Yoga Mat,"Yoga mat made from natural cork and rubber, biodegradable.",ZenMat,Fitness,"biodegradable,organic",29.99,"183 x 61 x 0.5 cm"
p12,Plastic-Free Dish Soap,"Concentrated dish soap in a paper-based package, vegan formula.",CleanWave,Kitchen,"plastic-free,vegan",6.25,"15 x 8 x 5 cm"
p13,Organic Cotton Bed Sheets,"Soft bed sheets made from 100% organic cotton, ethically produced.",EcoRest,Bedding,"organic,ethical",59.99,"240 x 260 cm"
p14,Reusable Tote Bag,"Durable tote bag made from recycled polyester, perfect for shopping.",GreenCarry,Bags,"recycled,reusable",9.99,"40 x 35 x 15 cm"
p15,Compostable Trash Bags,"Trash bags made from plant-based materials, fully compostable.",EcoBin,Household,compostable,7.49,"60 x 80 cm"
p16,Organic Baby Onesie,"Soft onesie made from organic cotton, gentle on baby’s skin.",TinyGreen,Clothing,"organic,ethical",12.99,"50 x 30 cm"
p17,Bamboo Phone Case,"Protective phone case made from biodegradable bamboo.",EcoTech,Accessories,biodegradable,14.99,"15 x 8 x 1 cm"
p18,Recycled Plastic Sunglasses,"Stylish sunglasses made from recycled ocean plastic.",SeaShade,Accessories,recycled,24.99,"14 x 5 x 4 cm"
p19,Organic Green Tea,"Loose-leaf green tea, organically grown and packaged in compostable material.",PureLeaf,Beverages,"organic,compostable",5.99,"10 x 8 x 5 cm"
p20,Reusable Coffee Cup,"Insulated coffee cup made from recycled materials, BPA-free.",EcoSip,Beverages,"recycled,reusable",11.99,"15 x 8 x 8 cm"
p21,Biodegradable Hairbrush,"Hairbrush with bamboo bristles and handle, fully biodegradable.",GreenComb,Toiletries,biodegradable,8.49,"22 cm"
p22,Organic Cotton Socks,"Comfortable socks made from 100% organic cotton.",EcoFeet,Clothing,organic,6.99,"25 x 10 cm"
p23,Compostable Sponges,"Kitchen sponges made from plant-based fibers, compostable.",CleanGreen,Kitchen,compostable,3.99,"12 x 8 x 2 cm"
p24,Recycled Paper Greeting Cards,"Set of greeting cards made from 100% recycled paper.",EcoCard,Stationery,recycled,4.5,"15 x 10 x 0.1 cm"
p25,Plastic-Free Deodorant,"Natural deodorant in a recyclable paper tube, aluminum-free.",FreshEco,Toiletries,"plastic-free,recyclable",6.99,"10 x 4 x 4 cm"
p26,Organic Linen Napkins,"Reusable napkins made from organic linen, sustainably sourced.",GreenDine,Tableware,"organic,reusable",14.99,"45 x 45 cm"
p27,Bamboo Laptop Stand,"Ergonomic laptop stand made from sustainable bamboo.",EcoDesk,Office,biodegradable,19.99,"50 x 25 x 15 cm"
p28,Recycled Polyester Backpack,"Durable backpack made from recycled plastic bottles.",GreenPack,Bags,recycled,29.99,"45 x 30 x 15 cm"
p29,Organic Herbal Tea,"Blend of organic herbs in a compostable package.",PureBlend,Beverages,"organic,compostable",6.49,"12 x 10 x 5 cm"
p30,Reusable Silicone Food Bags,"Food storage bags made from food-grade silicone, reusable.",EcoStore,Kitchen,reusable,9.49,"20 x 15 x 5 cm"
p31,Biodegradable Toothpaste,"Natural toothpaste in a compostable tube, fluoride-free.",SmileGreen,Toiletries,"biodegradable,organic",5.99,"15 x 5 x 3 cm"
p32,Organic Cotton Towels,"Soft towels made from 100% organic cotton, ethically produced.",EcoBath,Bathroom,"organic,ethical",24.99,"140 x 70 cm"
p33,Compostable Straws,"Straws made from plant-based materials, fully compostable.",GreenSip,Tableware,compostable,2.99,"20 cm"
p34,Recycled Aluminum Water Bottle,"Lightweight water bottle made from recycled aluminum.",CycleWorks,Accessories,recycled,14.99,"25 x 8 x 8 cm"
p35,Organic Soy Candle,"Hand-poured candle made from organic soy wax, eco-friendly.",GlowGreen,Home Decor,"organic,eco-friendly",12.99,"8 x 8 x 10 cm"
p36,Plastic-Free Conditioner,"Conditioner bar with zero plastic packaging, vegan formula.",NaturePure,Hair Care,"plastic-free,vegan",7.99,"8 x 5 x 3 cm"
p37,Bamboo Sunglasses,"Sunglasses with bamboo frames, eco-friendly and stylish.",EcoShade,Accessories,biodegradable,22.99,"14 x 5 x 4 cm"
p38,Organic Cotton Apron,"Durable apron made from 100% organic cotton.",GreenChef,Kitchen,"organic,ethical",19.99,"80 x 60 cm"
p39,Compostable Cutlery,"Disposable cutlery made from plant-based materials.",EcoFork,Tableware,compostable,4.99,"18 x 3 x 1 cm"
p40,Recycled Paper Planner,"Planner made from 100% recycled paper, eco-conscious design.",GreenPlan,Stationery,recycled,9.99,"21 x 15 x 2 cm"
p41,Organic Body Lotion,"Moisturizing lotion made from organic ingredients, recyclable packaging.",PureBloom,Toiletries,"organic,recyclable",8.99,"15 x 5 x 5 cm"
p42,Reusable Glass Straw,"Durable straw made from recycled glass, eco-friendly.",ClearSip,Accessories,"recycled,reusable",4.49,"20 cm"
p43,Biodegradable Cleaning Wipes,"Wipes made from plant-based materials, fully compostable.",CleanGreen,Household,compostable,5.49,"20 x 15 x 0.1 cm"
p44,Organic Cotton Blanket,"Cozy blanket made from 100% organic cotton.",EcoRest,Bedding,"organic,ethical",49.99,"200 x 150 cm"
p45,Plastic-Free Lip Balm,"Natural lip balm in a recyclable paper tube.",FreshEco,Toiletries,"plastic-free,recyclable",3.99,"8 x 2 x 2 cm"
p46,Recycled Polyester Jacket,"Warm jacket made from recycled plastic bottles.",EcoWear,Clothing,recycled,59.99,"80 x 60 cm"
p47,Compostable Coffee Filters,"Coffee filters made from plant-based fibers, compostable.",EcoBrew,Beverages,compostable,3.49,"15 x 15 x 0.1 cm"
p48,Bamboo Coasters,"Set of coasters made from sustainable bamboo.",GreenTable,Tableware,biodegradable,7.99,"10 x 10 x 0.5 cm"
p49,Organic Shaving Cream,"Natural shaving cream in a recyclable aluminum tin.",PureBloom,Toiletries,"organic,recyclable",6.99,"10 x 10 x 5 cm"
p50,Reusable Stainless Steel Bottle,"Insulated bottle made from stainless steel, BPA-free.",SteelSip,Accessories,reusable,19.99,"25 x 8 x 8 cm"
p51,Organic Cotton Scarf,"Soft scarf made from 100% organic cotton, ethically sourced.",EcoWear,Clothing,"organic,ethical",14.99,"180 x 30 cm"
p52,Biodegradable Dish Brush,"Dish brush with bamboo handle and plant-based bristles.",CleanWave,Kitchen,biodegradable,4.99,"25 cm"
p53,Recycled Paper Envelopes,"Envelopes made from 100% recycled paper.",GreenLeaf,Stationery,recycled,2.99,"23 x 16 x 0.1 cm"
p54,Plastic-Free Body Wash,"Natural body wash in a recyclable paper bottle.",NaturePure,Toiletries,"plastic-free,recyclable",7.99,"20 x 8 x 5 cm"
